gender,height,handedness,Lhandspan,Rhandspan,speed
F,65,R,7.5,7.5,50
F,62,R,7.5,7.5,65
F,64,R,6,6,70
F,67,R,8,8,70
F,60,R,7,7,75
F,60,L,8,8,80
F,63,L,6,6,80
F,64,R,8,8,80
F,66,R,7,7,80
F,68.5,R,7.5,7.75,80
F,71,R,8.5,8.5,80
F,64,R,7.5,7.5,84.5
F,53,R,7.5,7.75,85
F,63,R,7,7.5,85
F,64,R,6,6,85
F,64,R,7,7,85
F,64,R,8,8,85
F,66,R,7,6.875,85
F,66,R,7,7,85
F,66,R,7.5,8,85
F,67,R,7,7,85
F,68,R,8,8,85
F,66,R,7.75,7.5,88
F,54,R,6.5,6.5,90
F,60,R,6,6,90
F,61,R,6,5.5,90
F,62,R,6.5,6.5,90
F,62,R,6.5,6.5,90
F,63,R,8,8.25,90
F,64,R,7,7.5,90
F,64,R,7.5,7.25,90
F,65,R,7.5,7,90
F,65,R,8,8,90
F,66,L,7.5,7.25,90
F,67,R,7,6.5,90
F,67,R,9,8.75,90
F,68,R,8,8.5,90
F,69,R,7,7.3,90
F,63,R,7,7,91
F,64,R,7,7,92
F,61,R,6,6,95
F,62,R,7.5,7.5,95
F,62,R,7.5,6.5,95
F,63,R,8,8,95
F,64,R,7.5,7.5,95
F,65,R,7.5,7.6,95
F,69,R,8.5,8,95
F,70,R,8,8,95
F,63,R,6.5,6.5,98
F,68,R,8,8,98
F,69,R,8.5,8,98
F,63,R,7.5,7.5,100
F,64,R,8,8,100
F,67,R,6.5,7,100
F,67,R,7,7.5,100
F,70,R,7.5,8,100
F,63,L,8.5,8.5,108
F,61,R,7.5,7.5,110
F,65,L,7.5,7.5,110
F,66,R,9,9,110
F,62,R,6.5,7.25,115
F,62,L,8,8,115
F,64,R,8,8.5,115
F,65,R,8,8,115
F,64,R,7.5,7.5,120
F,62,R,7.75,8,125
F,62,R,6,6,140
M,67.5,R,8,8,80
M,71,L,7.5,8,80
M,73,R,9,9,80
M,69,R,9,9,85
M,72,R,9,9,85
M,74,R,9.875,9.75,85
M,78,R,7.75,7.75,85
M,72,R,9.5,9,86
M,73,R,7.7,7.5,88
M,69,L,8,8,90
M,72,R,8,8,90
M,74,R,8,7,90
M,67,R,8.75,8.75,95
M,69,R,9,9,95
M,73,R,8.5,8.5,95
M,73,R,9,9.25,95
M,75,R,10,10,95
M,71,R,8.75,8.625,98
M,63,L,7,7,100
M,70,R,8,8,100
M,71,R,7,7,100
M,72,R,8,8,100
M,72,L,9.75,9.75,100
M,74,R,8.5,8.5,101
M,70,R,8.5,8.5,102
M,72,R,8.5,8.5,102
M,68,R,8.5,8.5,105
M,71,R,8,8,105
M,68,R,8,8,110
M,68,R,9,9,110
M,70,L,8.5,8,110
M,70,R,9,9,110
M,71,R,9.25,9,110
M,72,R,8,8.5,110
M,72,R,9,9,110
M,73,R,9,9,110
M,73.2,R,10,9.5,110
M,76,R,9,9,110
M,77,R,9.25,9.25,110
M,65,L,7.75,7.75,115
M,70,R,8.5,8.5,115
M,66,R,8.5,8.5,116
M,73,R,9.5,9.5,117
M,67,R,9,9,120
M,67,R,9,9,120
M,68,L,9.5,9.5,120
M,69,R,7.75,8,120
M,70,R,8.5,8.75,120
M,73,R,8.5,8.5,120
M,73,R,9,9.25,120
M,74,R,9,9.5,120
M,76,R,9.25,9.5,120
M,79,L,9,9,120
M,68,R,7.5,7,123
M,71,R,9,8.75,123
M,69,R,8.75,8.5,125
M,69,L,9.5,9.5,125
M,72,R,8.5,8.6,125
M,70,R,7,8,127
M,72,L,8.5,8.5,127
M,69,R,9.25,9.5,130
M,72,L,9.1,9,130
M,73,R,10,10.5,130
M,75,R,9,9,134
M,71,R,8,8.75,140
M,72,R,8.5,8.5,140
M,67,R,8.75,8.5,142
M,68,L,8.5,8.5,145
M,70,R,9,9,145
M,70,R,9.75,8.75,147
M,75,R,9,9.5,150
M,65,R,8,8,155
